N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
7	Inverse Distance	Minkowski	Empty	3	0.977528	0.724719	0.772071
7	Inverse Distance	Minkowski	Empty	4	0.977528	0.724719	0.772071
7	Inverse Distance	Minkowski	Empty	5	0.977528	0.724719	0.770465
7	Inverse Distance	Minkowski	Empty	6	0.977528	0.724719	0.772071
7	Inverse Distance	Minkowski	Empty	7	0.977528	0.724719	0.772071
7	Inverse Distance	Minkowski	Empty	8	0.977528	0.724719	0.772071
7	Inverse Distance	Minkowski	Empty	9	0.977528	0.724719	0.775281
7	Inverse Distance	Minkowski	Empty	10	0.977528	0.719101	0.773676
7	Negative Distance	Minkowski	Empty	1	0.544141	0.483146	0.467095
7	Negative Distance	Minkowski	Empty	2	0.534510	0.477528	0.475120
7	Negative Distance	Minkowski	Empty	3	0.539326	0.477528	0.473515
